Zeit;Temp
3.8;22.5211
4;22.522
4.2;22.5229
4.4;22.5236
4.6;22.5242
4.8;22.5248
5;22.5253
5.2;22.5256
5.4;22.526
5.6;22.5263
5.8;22.5266
6;22.5267
6.2;22.5268
6.4;22.5307
6.6;22.6754
6.8;23.2249
7;24.1404
7.2;24.9914
7.4;25.5106
7.6;25.7699
7.8;25.8981
8;25.9682
8.2;26.0105
8.4;26.0363
8.6;26.0523
8.8;26.0624
9;26.0691
9.2;26.0737
9.4;26.0767
9.6;26.0788
9.8;26.0803
10;26.0814
10.2;26.0821
10.4;26.0826
10.6;26.0828
10.8;26.083
11;26.083
11.2;26.083
